"Spanish","Picture","English","Audio","Ranking","tags","deck"
"cuánto (adj)","<img src=""paste-1011662366703617.jpg"" />","how much?","[sound:yandex-bfc3ea00-cb1e8777-bc1338c4-a35a6635-a455973b.mp3]","723"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"cuarto (nm)","<img src=""paste-4425087625199617.jpg"" />","room, chamber (nm)","[sound:yandex-e7ada4ed-55339401-3e512d28-b3b1e3ff-fba2a875.mp3]","655"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"dado (adj)","<img src=""paste-1007315859800065.jpg"" />","given","[sound:yandex-2cd5e7fb-d83b5d29-d55e8f4d-015f2f58-59263f5f.mp3]","968"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"debido: debido a (adj)","<img src=""paste-573927889829889.jpg"" />","due to","[sound:yandex-3c2bfe83-8f85eacd-c5a5e192-93fd633c-464c47f6.mp3]","981"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"definitivo (adj)","<img src=""paste-595703374020609.jpg"" />","definitive, conclusive","[sound:yandex-b62a6e61-05aaa986-2c37970f-74d915c4-7817195c.mp3]","803"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"determinado (adj)","<img src=""paste-35888746725377.jpg"" />","determined, fixed","[sound:yandex-fd4c370b-c7c277b8-9d7da788-fea17a60-0bbd2596.mp3]","927"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"diario (nm)","<img src=""paste-4568887425236993.jpg"" />","newspaper (nm)","[sound:yandex-575759d5-2f1e93b4-80f1ab3b-e9a4eaa5-cc2ce939.mp3]","903"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"directo (adj)","<img src=""paste-4360173489487873 (1).jpg"" />","direct, straight","[sound:yandex-b311b7c2-737298a7-1778de83-22c964f9-7581badf.mp3]","733"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"dispuesto (adj)","<img src=""paste-26998164422657.jpg"" />","willing, ready","[sound:yandex-58066ef0-ba38fd8d-e79ce21c-7493ed3c-6d22bfc1.mp3]","690"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"diverso (adj)","<img src=""paste-979136579371009.jpg"" />","different, several, diverse","[sound:yandex-c8e4317e-ee453372-f0623f35-71dc9c70-c29c46c4.mp3]","740"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"duro (adj)","<img src=""paste-18240726106113.jpg"" />","hard (adj)","[sound:yandex-04751174-22ac1c07-b2b0d247-e01f4131-1a7f39e7.mp3]","615"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"enfermo (adj)","<img src=""paste-4550036813774849.jpg"" />","ill, sick","[sound:yandex-15f08700-44f20408-dd06e35b-7a7bafcf-0c83ff3b.mp3]","698"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"entero (adj)","<img src=""paste-154120606449665.jpg"" />","entire, whole, complete","[sound:yandex-dd0ca1d7-81c076ef-c122336e-e49a5233-18e18e3f.mp3]","760"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"exacto (adj)","<img src=""paste-4679890855002113.jpg"" />","exact, faithful, true","[sound:yandex-d3228e9e-774fa753-33ffccc3-974e32ae-d7384a2b.mp3]","879"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"extraño (adj)","<img src=""paste-133899900420097.jpg"" />","strange, foreign","[sound:yandex-c7f69096-bc691e44-732ed413-baf11b9c-58b7e9f8.mp3]","551"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"extraordinario (adj)","<img src=""paste-114473763340289.jpg"" />","extraordinary, exceptional","[sound:yandex-a2888baa-82c3b7de-ff9286ae-c340d0a8-2a3e5e0c.mp3]","860"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"fácil (adj)","<img src=""paste-511363101229057.jpg"" />","easy","[sound:yandex-05c3e554-8bdd0c0f-cdb5adec-fc275bd3-b194d88b.mp3]","514"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"familiar (adj)","<img src=""paste-649283091038209.jpg"" />","familiar, of the family (adj)","[sound:yandex-ce69ed9d-069bcc73-106ce63a-44d51037-0d25ee1c.mp3]","744"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"famoso (adj)","<img src=""paste-4552128462848001.jpg"" />","famous, well-known","[sound:yandex-defb0e71-9581cae2-ef372e56-b4cb1d06-c494b9c9.mp3]","713"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"feliz (adj)","<img src=""paste-4468406665347073.jpg"" />","happy, fortunate","[sound:yandex-e19a5bb4-f7006a42-627a5c90-a839d3c5-37971c77.mp3]","956"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"físico (adj)","<img src=""paste-4491427690053633.jpg"" />","physical (adj)","[sound:yandex-670e7228-823d9ee5-1f855a65-f58e7461-c1fff160.mp3]","643"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"francés (adj)","<img src=""paste-701973749825537.jpg"" />","French","[sound:yandex-6151b076-208e6741-740df79f-66b794d4-b78d8a72.mp3]","646"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"frío (adj)","<img src=""paste-4608680297234433.jpg"" />","cold (adj)","[sound:yandex-2ebb3b94-733670e1-4fe1b21a-fa4da361-bf25dda9.mp3]","907"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"futuro (nm)","<img src=""paste-19911468384257 (1).jpg"" />","future (nm)","[sound:yandex-d143df79-6d0a9e20-ca7146ee-8895c816-3e16b4dd.mp3]","623"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"grave (adj)","<img src=""paste-151715424763905 (1).jpg"" />","serious, solemn","[sound:yandex-8eb1e313-9f4fedb2-1146ec4c-e8a434e9-72c4dd17.mp3]","548"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"histórico (adj)","<img src=""paste-693461124644865.jpg"" />","historical","[sound:yandex-a1a8296b-139bcd8f-3ecbce14-d2c98177-78321b7e.mp3]","980"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"imposible (adj)","<img src=""paste-155327492259841 (1).jpg"" />","impossible","[sound:yandex-1087fdcc-00021e67-c379d211-854238c8-035069dc.mp3]","592"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"inglés (adj)","<img src=""paste-588238720860161.jpg"" />","English","[sound:yandex-2e01cfe7-4722e9b1-b224a5f5-6f24732b-f1da253a.mp3]","608"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"inmediato (adj)","<img src=""paste-4322485151465473.jpg"" />","immediate","[sound:yandex-2d2ff669-d8649b1e-9fe95472-115649f3-7db82bf6.mp3]","724"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"interesante (adj)","<img src=""paste-947551389876225.jpg"" />","interesting","[sound:yandex-6ae36120-0d2b0660-114212b9-32bb3f36-31cdaab7.mp3]","762"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"interior (nm)","<img src=""paste-4324585390473217.jpg"" />","interior, inside (nm)","[sound:yandex-795fb15d-e0faaa41-627d49b1-35af57a1-2a673e58.mp3]","614"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"interno (adj)","<img src=""paste-4631714206842881.jpg"" />","internal","[sound:yandex-adcd9e38-4b5d7195-f6cce151-3d8867f5-db73270e.mp3]","783"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"italiano (adj)","<img src=""paste-4594004393984001.jpg"" />","Italian","[sound:google-b7de6dd1-83de6a42-8bf314c4-b0a02a68-85f69038.mp3]","953"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"justo (adv)","<img src=""paste-4968212009582593.jpg"" />","just (adv)","[sound:google-37518e3b-4838bcb3-63ca5e8b-f2fd5f48-7955c61d.mp3]","915"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"lleno (adj)","<img src=""paste-91852170592257.jpg"" />","full, filled (as an object would de filled)","[sound:google-c58d3da0-8451b7ff-b5a45724-af8172ad-cd015290.mp3]","508"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"maestro (nm)","<img src=""paste-4362265138561025.jpg"" />","teacher (m), master (nm)","[sound:google-eefc8220-8c0089d1-c78c9845-c6d4cd47-8f67fac1.mp3]","961"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"mas (conj)","<img src=""paste-44607530336257.jpg"" />","but, however","[sound:google-21509c40-0c10b24e-17fb91dd-40a1b3ba-dc1ff36d.mp3]","777"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"material (nm)","<img src=""paste-4596100338024449.jpg"" />","material, element (nm)","[sound:google-95da4cb0-c4d632ac-74275a9a-1209d6dd-670cf85e.mp3]","656"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"médico (nm/f)","<img src=""paste-659204465491969.jpg"" />","doctor (nm/f)","[sound:google-30b2cd04-f3b94f6d-afc913d2-f49aa5f9-11c0d7d8.mp3]","564"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"militar (adj)","<img src=""paste-4677794910961665.jpg"" />","military (adj)","[sound:google-972a9be7-a3a2202e-db58549f-139a8447-f35d3dc9.mp3]","856"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"mínimo (adj)","<img src=""paste-559818922262529.jpg"" />","minimum (adj)","[sound:google-4421c967-57833dea-5a49df98-4a920549-9ea01a1a.mp3]","990"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"moderno (adj)","<img src=""paste-4610776241274881.jpg"" />","modern","[sound:google-bc888e53-645028db-44736794-37c715ad-a1a018cf.mp3]","671"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"muerto (adj)","<img src=""paste-4495610988199937.jpg"" />","dead (adj)","[sound:google-a9465ff3-dc5f56c4-781ff8c9-6b35a28b-e982898e.mp3]","687"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"nacional (adj)","<img src=""paste-607428634738689.jpg"" />","national","[sound:google-7b59f8c8-27d4ccb3-acd2f981-7e230d23-c0dfd2d3.mp3]","507"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"normal (adj)","<img src=""paste-148528559030273.jpg"" />","normal, usual, regular","[sound:google-085a67aa-278d7b04-846fc770-a5dfded3-378eee81.mp3]","664"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"oscuro (adj)","<img src=""paste-677741544341505.jpg"" />","dark, obscure","[sound:google-0b4ee188-149c6f24-d2b7d6eb-b0cfc096-d5f52bf8.mp3]","888"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"parecido (adj)","<img src=""paste-102482214649857.jpg"" />","similar [also similar]","[sound:google-93c1a0d7-95b0dadb-a1df8730-49b8106b-1ec2dfbc.mp3]","837"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"particular (adj)","<img src=""paste-923349249163265.jpg"" />","particular, peculiar (adj)","[sound:google-60fe3691-83c36594-dd22816a-c27294f1-9ad082b5.mp3]","854"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"peor (adv)","<img src=""paste-113515985633281.jpg"" />","worse (adv)","[sound:google-dc2feb49-6088b4dc-d3a1ff95-cebd5090-4410430d.mp3]","866"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"perdido (adj)","<img src=""paste-4497702637273089.jpg"" />","lost","[sound:google-96753f18-8f8c6955-936ea0dd-7d6a4b22-ed972b15.mp3]","931"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"perfecto (adj)","<img src=""paste-917654122528769.jpg"" />","perfect","[sound:google-24dfd656-0d578731-45abbedf-070cb1f1-ae6dcbc2.mp3]","810"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"personal (adj)","<img src=""paste-631909948325889.jpg"" />","personal (adj)","[sound:google-8c35f646-783dbbc4-c0dd750d-3a4a028c-a73a3bdc.mp3]","590"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"plano (nm)","<img src=""paste-4577262611464193.jpg"" />","plane, map, level (nm)","[sound:google-a932983a-190f4c82-42806473-9c2b56f6-1de3c95f.mp3]","875"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"pleno (adj)","<img src=""paste-233392817831937.jpg"" />","complete, fulfilled (as emotionally)","[sound:google-e7ffb48b-09b4f9d9-0ca06c74-dfc2adea-c6e8c030.mp3]","679"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"popular (adj)","<img src=""paste-910528771784705.jpg"" />","popular","[sound:google-3fa1200b-512d9333-2c763063-6bb87574-59d2168d.mp3]","709"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"preciso (adj)","<img src=""paste-4476768966672385.jpg"" />","precise, necessary","[sound:google-f5b3d73d-ed27854c-9ae619df-4925c437-3ac4128b.mp3]","739"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"presente (nm)","<img src=""paste-62526133895169.jpg"" />","present (nm)","[sound:google-0eb046ee-c894880a-ea72c413-912ba400-89a4ea67.mp3]","802"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"privado (adj)","<img src=""paste-780743450034177.jpg"" />","private","[sound:google-bee310a5-61a46e05-939e5397-085b6e29-b1cfd041.mp3]","706"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"profesional (adj)","<img src=""paste-4579354260537345.jpg"" />","professional","[sound:google-2a71d8d1-e8bff30a-99ebc77a-c0a6da54-4bddd590.mp3]","640"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"puro (adj)","<img src=""paste-4642189632077825.jpg"" />","pure, clean","[sound:google-fd7a1e11-c4421314-073d446f-3767e94f-7a99517f.mp3]","637"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"rápido (adj)","<img src=""paste-626116037443585.jpg"" />","quick, fast","[sound:google-9f584e50-b4c33f5a-362a2aac-4b109f33-9afc2e80.mp3]","652"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"raro (adj)","<img src=""paste-4652656467378177.jpg"" />","strange, rare, scarce","[sound:google-53b0e6c1-6556b577-64fb6e73-82168365-fbf327a6.mp3]","849"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"religioso (adj)","<img src=""paste-4581445909610497.jpg"" />","religious","[sound:google-346f8c68-b86ad9b3-e20f18a2-8974bcec-282ba12b.mp3]","886"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"responsable (adj)","<img src=""paste-231743550390273.jpg"" />","responsible","[sound:google-07738a5f-54660e67-af3a46a7-4fcb6cae-3433b390.mp3]","955"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"rico (adj)","<img src=""paste-4522811016085505.jpg"" />","rich, tasty","[sound:google-65d3c1d7-5debdc88-fa663143-9a1a8101-5a750891.mp3]","627"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"rojo (adj)","<img src=""paste-4598191987097601.jpg"" />","red","[sound:google-acdeae1d-d80711ae-c9fc754f-dac54518-6ea9bf60.mp3]","533"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"sencillo (adj)","<img src=""paste-4617051188494337.jpg"" />","simple, plain, easy","[sound:google-26d0a612-b6272134-e0916b43-a95f43b0-83ba3a8a.mp3]","922"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"serio (adj)","<img src=""paste-4583537558683649.jpg"" />","serious","[sound:google-fe69de00-a7d0c67f-74f65eda-75f87ffb-ec814a0f.mp3]","545"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"simple (adj)","<img src=""paste-377695129042945.jpg"" />","simple, mere, simple-minded","[sound:google-6489afc5-0dd9b9aa-b5043566-571273ec-a8998871.mp3]","661"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"suficiente (adj)","<img src=""paste-154219390697473.jpg"" />","sufficient, enough","[sound:google-9bd841e1-093fa030-7394c92c-72e39d5f-2b31b642.mp3]","547"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"superior (adj)","<img src=""paste-153489246257153.jpg"" />","superior, upper","[sound:google-c6027618-e679b038-1e7e7af3-f4ba6872-df029613.mp3]","535"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"supuesto (adj); por supuesto","<img src=""paste-133560598003713.jpg"" />","supposed: of course","[sound:google-9e1e9b33-451ef6cc-9586ddac-cc178066-9534be76.mp3]","511"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"total (adj)","<img src=""paste-20809116549121 (1).jpg"" />","total, entire (adj)","[sound:google-881f6bc3-86050227-7e45c2a1-89a63e53-332d6b7e.mp3]","629"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"unido (adj)","<img src=""paste-863477405057025.jpg"" />","united","[sound:google-55196e85-08f0e232-757b8a86-1551dd69-6b5743f3.mp3]","858"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"verde (adj)","<img src=""paste-4585629207756801.jpg"" />","green","[sound:google-da9ebc7f-53456cd7-db892ecf-cbc7c3fa-64001272.mp3]","878"," 1000 adj ","Essential Spanish Vocabulary Top 5000"
"abajo (adv)","<img src=""paste-660621804699649.jpg"" />","down, below, downward","[sound:yandex-76706b0a-a9b3ac5f-9f197f08-6939fabf-a12b27e1.mp3]","631"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"adelante (adv)","<img src=""paste-153188598546433.jpg"" />","forward, further","[sound:yandex-8a559af2-4adaf207-14780c6a-07be1ac6-22605a20.mp3]","516"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"alrededor (adv)","<img src=""paste-21663815041025.jpg"" />","about, around, round (adv)","[sound:yandex-3b590b77-79607bcf-d1279c58-cb667a21-676adaf2.mp3]","556"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"apenas (adv)","<img src=""paste-4600287931138049.jpg"" />","hardly, barely","[sound:yandex-fe3538ac-933b8524-40745ea8-b1861920-6456e4ed.mp3]","587"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"arriba (adv)","<img src=""paste-650240868745217.jpg"" />","up above","[sound:yandex-954408b8-9fdcb9a0-063c8d93-14c4df3e-983a79c4.mp3]","544"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"aun (adv)","<img src=""paste-336420493328385.jpg"" />","even (though), still","[sound:yandex-612fa288-091ce5b6-0dfa8509-0541c124-e044770d.mp3]","843"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"completamente (adv)","<img src=""paste-349936755408897.jpg"" />","completely","[sound:yandex-b71f2a98-df4ffcde-d9be3574-9f495e00-86738f5d.mp3]","869"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"debajo (adv)","<img src=""paste-4541657332580353.jpg"" />","underneath, below","[sound:yandex-4233ff2e-025ba8a5-5a3d740f-096a28d4-c0cb37b5.mp3]","820"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"delante (adv)","<img src=""paste-4395740113666049.jpg"" />","in front of, ahead","[sound:yandex-56374075-22e3dacf-db1d1607-fea6b13c-dc4b1b84.mp3]","885"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"detrás (adv)","<img src=""paste-634744626741249.jpg"" />","in the back","[sound:yandex-94b72325-cf3e4e64-b392df1b-16f7b0a7-c42d007d.mp3]","701"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"directamente (adv)","<img src=""paste-4558412000002049.jpg"" />","directly, straight away","[sound:yandex-3a2db046-f6877c1a-ae2665c2-99197bfc-fee97f14.mp3]","936"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"especialmente (adv)","<img src=""paste-4397831762739201.jpg"" />","especially","[sound:yandex-e319b178-aa4f7463-435a536b-0bd7d689-5b8aea27.mp3]","684"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"exactamente (adv)","<img src=""paste-4646377225191425.jpg"" />","exactly","[sound:yandex-90b507f6-bfc64405-973eceea-dc9e5608-9a88f67e.mp3]","977"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"finalmente (adv)","<img src=""paste-4671498488905729.jpg"" />","finally, at last","[sound:yandex-e2b9033c-256cf6e7-81536a7c-4ade2ff8-9b10b87f.mp3]","728"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"inmediatamente (adv)","<img src=""paste-86955907874817.jpg"" />","immediately","[sound:yandex-96299383-1958e0d2-518bd90e-cd372de0-1aebd625.mp3]","882"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"jamás (adv)","<img src=""paste-242953415032833.jpg"" />","never","[sound:google-06e2c928-9fd77dfe-99cc11de-975f67dd-66816a1d.mp3]","788"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"junto (adj)","<img src=""paste-4665219246718977.jpg"" />","together (adj)","[sound:google-58d5181c-5cc86f3f-9bf416e7-ed157318-c6b4125b.mp3]","729"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"perfectamente (adv)","<img src=""paste-113013474459649.jpg"" />","perfectly","[sound:google-b7088795-430554ce-c3cec44c-a5692c7b-b3b57da8.mp3]","850"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"precisamente (adv)","<img src=""paste-4654748116451329.jpg"" />","precisely","[sound:google-b5075d59-d1c3432c-1a48242b-c90edacb-bf1d7afe.mp3]","580"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"probablemente (adv)","<img src=""paste-38628935860225.jpg"" />","probably","[sound:google-0c65fed8-76b75fed-34f57112-0efa07f2-ba2d7a6f.mp3]","971"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"recién (adv)","<img src=""paste-4450226068783105.jpg"" />","recently, just","[sound:google-59036c5e-29dbb565-132d3847-82ee91eb-e4d0a8b4.mp3]","863"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"salvo (adv)","<img src=""paste-34935263985665 (1).jpg"" />","except for, but","[sound:google-110befc2-3be81580-4aad85e3-74b466fc-e6d654c0.mp3]","924"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"seguramente (adv)","<img src=""paste-692043785437185.jpg"" />","surely, securely","[sound:google-1444d636-53e8ad3a-1c2650e7-2e1dfdb1-cd9ed3a9.mp3]","994"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"simplemente (adv)","<img src=""paste-375517580623873.jpg"" />","simply, just","[sound:google-9ec4b9bd-4952b3d9-20682f5e-7fc45fc7-73522cb5.mp3]","591"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"siquiera (adv)","<img src=""paste-700552115650561.jpg"" />","even if","[sound:google-6e662ce7-8b552ec1-8b8c530a-a6a51315-cf402595.mp3]","602"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"totalmente (adv)","<img src=""paste-83425444757505.jpg"" />","totally, completely","[sound:google-9aa97ec3-4f445990-68433859-7a21ff4f-4529e778.mp3]","662"," 1000 adv ","Essential Spanish Vocabulary Top 5000"
"artista (nc)","<img src=""paste-4623339020615681.jpg"" />","artist, performer","[sound:yandex-e45cae63-293b6cb5-ffa4eb8a-4ea6e131-e30dbb65.mp3]","928"," 1000 nc ","Essential Spanish Vocabulary Top 5000"
"joven (nc)","<img src=""paste-4604475524251649.jpg"" />","teenager, young person (nc)","[sound:google-01ef2dc8-00e093d6-f7235d37-20241350-d483846f.mp3]","581"," 1000 nc ","Essential Spanish Vocabulary Top 5000"
"modelo (nc)","<img src=""paste-555133112942593.jpg"" />","model, pattern","[sound:google-d47aa762-05bb1786-d4fc3791-c8c71613-f06e1d86.mp3]","747"," 1000 nc ","Essential Spanish Vocabulary Top 5000"
"actitud (nf)","<img src=""paste-4635906094923777.jpg"" />","attitude","[sound:yandex-6117b8ad-affd6dbf-fc9ba06e-c780e85b-a764b9f9.mp3]","644"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"altura (nf)","<img src=""paste-597120713228289.jpg"" />","height, altitude","[sound:yandex-57e7495e-42dfaa61-6d05b4b6-4eeae8bb-8eca2b7b.mp3]","578"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"autoridad (nf)","<img src=""paste-4587720856829953.jpg"" />","authority","[sound:yandex-32f8720b-c5219e06-7978e59c-2d01402b-1ffa31df.mp3]","718"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"ayuda (nf)","<img src=""paste-4648468874264577.jpg"" />","help, aid","[sound:yandex-d740d34d-c92c78b8-742b7a99-c37a47ed-bfcd8359.mp3]","594"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"boca (nf)","<img src=""paste-671943338491905.jpg"" />","mouth, entrance, opening","[sound:yandex-6f111760-7fdd4a7a-2fd380fe-b14393aa-e41220da.mp3]","635"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"calidad (nf)","<img src=""paste-699134776442881.jpg"" />","quality","[sound:yandex-e1a3d59f-e67db27a-2afa3fe8-fefdfb32-ad0cc0bc.mp3]","772"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
"capacidad (nf)","<img src=""paste-4658940004532225.jpg"" />","capacity","[sound:yandex-6f05d8fe-dc07f0cd-56f1c61c-d11d2af4-650ea093.mp3]","675"," 1000 nf ","Essential Spanish Vocabulary Top 5000"
